Teacher Name;University Currently Teaching;Department;Province University Located;Designation;Terminal Degree;Graduated from;Country;Year;Area of Specialization/Research Interests;Other Information
Uzair Iqbal;National University of Modern Languages;Computer Science;Capital;Lecturer;;;;;;
ADEEL AHMED;National University of Modern Languages;Computer Science;Capital;Lecturer;MPhil;Quaid-i-Azam University;Pakistan;2011;Large Scale Schema Matching and Integration, Machine Learning & Pattern Recognition, Social Network Analysis, Information Retrieval Systems (Recommender Systems),Semantic Web, Software Re-engineering, Bioinformatics  ;
Fahad Tahir;Air University;Computer Science;Capital;Assistant Professor;PhD;Queen Mary University of London;UK;;Computer Vision, Data Analysis , Pattern Matching, Video Surveillance, Object Tracking and Re-Identification;
Sheikh Muhammad Qasim;Air University;Computer Science;Capital;Professor;PhD;University of Illinois;Urbana;;;
Mehdi Hassan;Air University;Computer Science;Capital;Assistant Professor;PhD;Pakistan Institute of Engineering and Applied Sciences;Pakistan;;Biomedical Image Processing and Analysis, Pattern Recognition, Machine Learning;
Ahmad Jalal;Air University;Computer Science;Capital;Assistant Professor;Post Doc;Pohang University of Science and Technology;South Korea;;Multimedia design and system, Human computer interaction, Computer Vision, Artificial Intelligence, Image processing, Computer Graphics;
Omer Ishaq Hassan;Air University;Computer Science;Capital;Assistant Professor;PhD;Uppsala University;Sweden;;Image analysis & Deep learning;
Aamer Hanif;Air University;Computer Science;Capital;Assistant Professor;MS;FAST– National University of Computer and Emerging Sciences,Islamabad;Pakistan;;Data Mining, Quality Management, Project Management;
Imran Ihsan;Air University;Computer Science;Capital;Assistant Professor;MS;Mohammad Ali Jinnah University;Pakistan;;Semantic Web, Ontology Engineering, Data Sciences;PhD in progress from Capital University of Science & Technology
Atta ur Rehman Khan;Air University;Computer Science;Capital;Associate Professor;PhD;University of Malaya;Malaysia;;Cybersecurity, Mobile Cloud Computing, and IoT;
Muhammad Shafi;Air University;Computer Science;Capital;Associate Professor;PhD;Loughborough University;UK;;Computer Vision;
Shaharyar Kamal;Air University;Computer Science;Capital;Assistant Professor;PhD;Kyung Hee University;South Korea;;Wireless Networks and Security, 5G and Internet of Things.;
Farah Haneef;Air University;Computer Science;Capital;Lecturer;Mphil;Quaid-i-Azam University;Pakistan;;Social Networks Analysis, Software Testing, Algorithm Design and Development.;"PhD in progress from  Quaid-e-Azam University, Islamabad 
"
Sabih Ul Hassan;Air University;Computer Science;Capital;Lecturer;MSc;;UK;;Applications of 8053 Micro Processor;
Mehwish Shaffiq;Air University;Computer Science;Capital;Lecturer;MSc;University of Liverpool;UK;;Software Engineering Web Technologies;
Faisal Fayyaz;Air University;Computer Science;Capital;Lecturer;MS;University of Sunderland;UK;;Software Engineering;
Asif Jamal;Air University;Computer Science;Capital;Lecturer;MS;Mid Sweden University;Sweden;;Wireless Sensors, Cluster & Cloud Computing, Programming.;
Syed Atif Muqurrab;Air University;Computer Science;Capital;Lecturer;MS;FAST– National University of Computer and Emerging Sciences;Pakistan;;Data Privacy, Artificial Intelligence, Digital Marketing, Web Development;PhD in progress from COMSATS
Sidra Siddiqui;Air University;Computer Science;Capital;Lecturer;MS;Bahria University,Islamabad;Pakistan;;;
Sajid Riaz;Air University;Computer Science;Capital;Lecturer;MS;Lahore University of Management Sciences;Pakistan;;;
Dr. Faisal Bashir;Bahria University,Islamabad;Computer Science;Capital;Head of Department;Post Doc;Chosun University;South Korea;2013;Ad hoc Networks, Wireless Sensor Networks, Wireless Personal Area Networks and Wireless Body Area Networks;
Dr Muhammad Ramzan ;Bahria University,Islamabad;Computer Science;Capital;Professor;PhD;Quaid-i-Azam University;Pakistan;2010;  Wave Mechanics/Fluid Mechanics;
Mr. Fazal Wahab;Bahria University,Islamabad;Computer Science;Capital;Senior Assistant Professor;;;;;;
Mr. Rashid Karim;Bahria University,Islamabad;Computer Science;Capital;Senior Assistant Professor;MSc;University of Sussex;UK;1991;Formal Languages , Compiler Design, Quality in Education;
Mr. Imtiaz Ali Khan;Bahria University,Islamabad;Computer Science;Capital;Senior Assistant Professor;;;;;;
Dr. Imran Ahmed Siddqui;Bahria University,Islamabad;Computer Science;Capital;Senior Assistant Professor;PhD;Paris Descartes University;France;2009;;
Dr. Muhammad Muzammal;Bahria University,Islamabad;Computer Science;Capital;Senior Assistant Professor;PhD;University of Leicester;UK;2012;Data Science, e-Learning, Software Engineering, Augmented/Virtual Reality;
Dr. Shagufta Henna;Bahria University,Islamabad;Computer Science;Capital;Senior Assistant Professor;PhD;University of Leicester;UK;2013;Mobile Ad hoc Networks, Wireless Sensor Networks (WSNs), Wireless Body Area Networks, Coverage in WSNs, Software Defined Networking, Massive Machine Type Access in Future Generation Networks, Low Power Wide Area Networks (LPWAN), Adaptive Data Rate in LPWAN, Approximation Algorithms, and NP-hard problems in Wireless Sensor Networks, Wireless Chargeable Sensor Networks;
Dr. Sumaira Kausar;Bahria University,Islamabad;Computer Science;Capital;Senior Assistant Professor;PhD;National University of Sciences and Technology;Pakistan;2014;Pattern recognition, image analysis, machine learning.;
Dr. Samabia Tahsin;Bahria University,Islamabad;Computer Science;Capital;Senior Assistant Professor;PhD;National University of Sciences and Technology;Pakistan;2014;Digital Image Processing, Document Analysis, Computer Vision;
Dr.Arif ur Rehman;Bahria University,Islamabad;Computer Science;Capital;Senior Assistant Professor;PhD;University of Porto;Portugal;2013;Digital Preservation, Database Preservation, Information Retrieval, Information Systems;
Dr. Muhammad Asfand-e-yar;Bahria University,Islamabad;Computer Science;Capital;Senior Assistant Professor;PhD;Vienna University of Technology;Austria;2011;Semantic Web Technology, Smart Technologies, Digital Right Management Systems;
Ms. Saima Jawad ;Bahria University,Islamabad;Computer Science;Capital;Senior Assistant Professor;MS;University of Manchester;UK;1995;Learning Systems,Quality in Higher Education;
Dr. Sabina Akhtar;Bahria University,Islamabad;Computer Science;Capital;Assistant Professor;PhD;Université Henri Poincaré, Nancy 1,;France;2012;Distributed Algorithms, Formal Methods, Model Checking;
Dr. Muneeb Gohar;Bahria University,Islamabad;Computer Science;Capital;Assistant Professor;PhD;Kyungpook National University;South Korea;2012;;
Mr. Suroor Zaidi;Bahria University,Islamabad;Computer Science;Capital;Assistant Professor;MS;Bahria University;Pakistan;2016;Software Engineering;
Mr. Assad Iqbal;Bahria University,Islamabad;Computer Science;Capital;Assistant Professor;MS;Centre for Advanced Studies in Engineering;Pakistan;2011;Engineering Education, Human Factors in Engineering, Big Data and Cloud.;
Mr. Ghulam Ali Mirza;Bahria University,Islamabad;Computer Science;Capital;Assistant Professor;MS;Mohammad Ali Jinnah University;Pakistan;2010;Data Integration, Image Processing;
Ms. Ambrina Kanwal;Bahria University,Islamabad;Computer Science;Capital;Assistant Professor;MS;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Pakistan;2008;Cryptography,Numerical Computing;
Mr Khushal Shah;Bahria University,Islamabad;Computer Science;Capital;Assistant Professor;MS;Queen Mary University of London;UK;2013;Distributed Computing, Cloud Computing, Grid Computing, Database Systems.;
Dr. Waqas Aman;Bahria University,Islamabad;Computer Science;Capital;Senior Assistant Professor;PhD;Norwegian University of Science and Technology (NTNU),;Norway;2016;Security in Critical Infrastructures, Privacy, Security in Smart Ecosystems, Application Security, Risk Management, Adaptive Security, Internet of Things(IoT), Big Data Security.;
Dr.Jaffar Aman;Bahria University,Islamabad;Computer Science;Capital;Assistant Professor;PhD;The Islamia University of Bahawalpur ;Pakistan;2016;;
Dr.Ubaid Ahmed Nisar;Bahria University,Islamabad;Computer Science;Capital;Assistant Professor;PhD;COMSATS Institute of Information Technology;Pakistan;2017;;
Dr. Kashif Naseer;Bahria University,Islamabad;Computer Science;Capital;Assistant Professor;PhD;Universiti Technologi;Malaysia;2016;;
Ms. Mahvish Pervaiz;Bahria University,Islamabad;Computer Science;Capital;Assistant Professor;MS;Bahria University;Pakistan;2015;speech processing and data mining;
Ms. Alyia Amir;Bahria University,Islamabad;Computer Science;Capital;Assistant Professor;MS;California State University;USA;2003;Data Mining;
Ms. Fouzia Tauqeer;Bahria University,Islamabad;Computer Science;Capital;Assistant Professor;Mphil;Quaid-i-Azam University;Pakistan;2011;Statistical quality control and quality management, Linear profile methodologies for statistical process control;
Mr.Ali Irfan;Bahria University,Islamabad;Computer Science;Capital;Assistant Professor;MS;International Islamic University,Islamabad;Pakistan;2013;;
Mr Abdul Hannan;Bahria University,Islamabad;Computer Science;Capital;Senior Lecturer;MS;Bahria University,Islamabad;Pakistan;2014;Telecommunication and Networking;
Ms. Erum Ashraf;Bahria University,Islamabad;Computer Science;Capital;Senior Lecturer;MS;International Islamic University,Islamabad;Pakistan;2012;Software Engineering;
Ms.Momina Moetesum;Bahria University,Islamabad;Computer Science;Capital;Senior Lecturer;MS;Bahria University,Islamabad;Pakistan;2011;Image Analysis and Pattern Classification;PhD in progress from Bahria University
Ms. Anum Ayaz;Bahria University,Islamabad;Computer Science;Capital;Senior Lecturer;MS;Bahria University,Islamabad;Pakistan;2013;;
Ms. Romana Talat;Bahria University,Islamabad;Computer Science;Capital;Senior Lecturer;MS;Bahria University,Islamabad;Pakistan;2016;Image Processing;
Ms. Sameen Arshad;Bahria University,Islamabad;Computer Science;Capital;Senior Lecturer;MS;;;;;
Mr. Usman Shafique;Bahria University,Islamabad;Computer Science;Capital;Senior Lecturer;MS;COMSATS Institute of Information Technology;Pakistan;2016;Information Security;
Ms. Naila Shaheen;Bahria University,Islamabad;Computer Science;Capital;Senior Lecturer;MPhil;Quaid-i-Azam University;Pakistan;2011;Non-Newtonian Fluid, Analytic Solutions Homotopy, Analysis Method;
Mr. Talha Naqash;Bahria University,Islamabad;Computer Science;Capital;Lecturer;PhD;University of Genova;Italy;2017;;
Ms. Iqra Javed;Bahria University,Islamabad;Computer Science;Capital;Lecturer;MS;National University of Sciences and Technology;Pakistan;2013;Text mining, Bi-lingual Social network Analysis, Semantic analysis.;
Zain ul Abideen;Bahria University,Islamabad;Computer Science;Capital;Lecturer;BS;University of Engineering and Technology,Taxila;Pakistan;2004;;MS in progress from UET,Taxila
Mr. Umar Khatak;Bahria University,Islamabad;Computer Science;Capital;Lecturer;MS;University of Liverpool John Moores University;UK;2009;Information Systems;
Ms. Anum Kaleem;Bahria University,Islamabad;Computer Science;Capital;Lecturer;MS;Bahria University;Pakistan;2015;Online Reputation Management Systems;
Ms. Maryam Khalid Multani;Bahria University,Islamabad;Computer Science;Capital;Senior Lecturer;MS;National University of Sciences and Technology;Pakistan;2007;"Internet of Things; Cloud Computing; Ad hoc Networks; Wireless Sensor Networks; Optical Networks; Algorithm Design and Optimization;";
Mr. Saeed ur Rehman;Bahria University,Islamabad;Computer Science;Capital;Jr.Lecturer;BS;Bahria University;Pakistan;2013;Educational data mining;MS in progress from Bahria University
Mr. Sabahuddin Waqar;Bahria University,Islamabad;Computer Science;Capital;Jr.Lecturer;BS;Bahria University;Pakistan;2013;;
Mr. Zain Bin Khalid;Bahria University,Islamabad;Computer Science;Capital;Jr.Lecturer;MS;National University of Sciences and Technology;Pakistan;2017;Introduction to EMC/EMI,  Document Writing using LATEX ;
Ms. Ramsha Baig;Bahria University,Islamabad;Computer Science;Capital;Jr.Lecturer;BS;Bahria University;Pakistan;2015;Cloud Computing , Artficial Intelligence;MS in progress from Bahria University
Mr. Ramis Ali;Bahria University,Islamabad;Computer Science;Capital;Jr.Lecturer;MS;Bahria University,Islamabad;Pakistan;;web ontologies;
Ms. Umarah Qaseem;Bahria University,Islamabad;Computer Science;Capital;Jr.Lecturer;BS;COMSATS Institute of Information Technology;Pakistan;2016;Natural Language Processing, Artificial Intelligence and Robotics.;MS in progress from National University of Sciences and Technology
Mr. Junaid Aslam;Bahria University,Islamabad;Computer Science;Capital;Jr.Lecturer;BS;Bahria University,Islamabad;Pakistan;2016;;MS in progress from Bahria University
Mr. Sikandar Hayat;Bahria University,Islamabad;Computer Science;Capital;Jr.Lecturer;BS;Bahria University,Islamabad;Pakistan;2015;;
Mr. Basma Batool Khan;Bahria University,Islamabad;Computer Science;Capital;Jr.Lecturer;BS;Bahria University,Islamabad;Pakistan;2016;;MS in progress from Bahria University
Mrs. Maryam Bibi;Bahria University,Islamabad;Computer Science;Capital;Jr.Lecturer;BS;Bahria University,Islamabad;Pakistan;2016;Image Processing;
Prof. Dr. Muhammad Abdul Qadir;Capital University of Science and Technology;Computer Science;Capital;Professor/Dean;PhD;Guildford;UK;1995;Semantic Computing: Semantic Digital Libraries, Ontology evaluation, Ontology mapping and merging, Semantic Cache Query Processing, Semantic Extraction from Multimedia Objects, Semantic Search Engines, Semantic based Learning Systems, Semantic based Query Refinement for WWW, Deep Web Mining Distributed Computing: Networks (IP and Transport Services), Bandwidth Aggregation for Heterogeneous Networks, Fault Tolerance Cryptography and Cryptanalysis, Algorithms, Bioinformatics ;
Dr. Nayyer Masood;Capital University of Science and Technology;Computer Science;Capital;Professor/HoD;PhD;University of Bradford;UK;1999;Multidatabase Systems Schema Translation, Schema Evolution, Schema Integration, Data Integration, Data Mining;
Dr. Muhammad Tanvir Afzal;Capital University of Science and Technology;Computer Science;Capital;Associate Professor;PhD;Graz University of Technology;Austria;2010;"Digital Libraries; Web/Text Mining; Semantic Web; Information Visualization";
Dr. Muhammad Azhar Iqbal;Capital University of Science and Technology;Computer Science;Capital;Assistant Professor;PhD;Huazhong University of Science and Technology (HUST), Wuhan;China;2012;Wireless Ad Hoc Networks, development and evaluation of Network Coding Aware and Network Coding Based routing protocols suitable to highly dynamic and delay tolerant networks;
Dr. Muhammad Aleem;Capital University of Science and Technology;Computer Science;Capital;Assistant Professor;PhD;University of Innsbruck;Austria;2012;Parallel and distributed computing. Parallel programming environments for multi-/many-core shared and distributed memory parallel computers. Run-time environments and scheduling mechanisms for parallel machines based on multi-cores. Performance analysis of parallel applications.;
Dr. Muhammad Arshad  Islam;Capital University of Science and Technology;Computer Science;Capital;Assistant Professor;PhD;University of Konstanz;Germany;2011;Routing in Mobile Ad hoc Networks Social Network Analysis Application of Graph Theory;
Shahzad Rafique ;Capital University of Science and Technology;Computer Science;Capital;Assistant Professor;MS;Mohammad Ali Jinnah University;Pakistan;2004;Software & System Engineering, Computational Intelligence (Soft Computing), Agents and Multi Agent Systems, Autonomous Systems, Component Based Development;
Humera Aftab Sheikh;Capital University of Science and Technology;Computer Science;Capital;Assistant Professor;Mphil;National University of Modern Languages,Islamabad;Pakistan;2007;;
Mr Qamar Mahmood;Capital University of Science and Technology;Computer Science;Capital;Assistant Professor;MSc;University of Engineering and Technology,Taxila;Pakistan;2006;Semantic Computing, Digital Libraries, Ontology Engineering;
Saleem Anwar;Capital University of Science and Technology;Computer Science;Capital;Assistant Professor;;;;;;
Salman Ahmed;Capital University of Science and Technology;Computer Science;Capital;Lecturer;MS;Mohammad Ali Jinnah University;Pakistan;2013;"Mobile Agents; Semantic Web; RDF Graphs";
Mr. Qamar  uz Zaman;Capital University of Science and Technology;Computer Science;Capital;Lecturer;MS;Centre for Advanced Studies in Engineering;Pakistan;2013;Requirements Engineering, Formal Methods.;
Muhammad Ansar Javed;Capital University of Science and Technology;Computer Science;Capital;Lecturer;MS;National University of Sciences and Technology;Pakistan;2015;Parallel Programming, Big Data, Games Bases Learning.;
Bilal Ahmad;Capital University of Science and Technology;Computer Science;Capital;Lecturer;MS;University of Engineering and Technology,Taxila;Pakistan;2010;Wireless sensor networks particularly MAC layer design.;
Mr. Ibrar  Arshad;Capital University of Science and Technology;Computer Science;Capital;Lecturer;MS;Blekinge Institute of Technology;Sweden;2012;Software Testing, Software Requirements Engineering, Agile Development, Global Software Engineering, Formal Methods;
Mr. Syed Awais Haider;Capital University of Science and Technology;Computer Science;Capital;Lecturer;Mphil;Quaid-i-Azam University;Pakistan;2012;;
Ms. Asma  Naz;Capital University of Science and Technology;Computer Science;Capital;Lecturer;MS;Quaid-i-Azam University;Pakistan;2013;Corpus linguistics, statistics, and the application of corpus methods in the study of speech and writing, learner language, collocations, phraseology and vocabulary. I am also interested in corpus design and corpus tools development, Experimental Phonetics and Phonology, Forensic Phonetics, Psycholinguistics, Second Language Acquisition, Implicit and Explicit L2 Knowledge, Prosody, Tone.;
Mr. Muhammad Shaheryar;Capital University of Science and Technology;Computer Science;Capital;Lecturer;MS;National University of Sciences and Technology;Pakistan;2013;Machine Learning, Artificial Intelligence, Data Mining, Classification, Image Processing, Automata;
Mr. Usman  Rafiq;Capital University of Science and Technology;Computer Science;Capital;Lecturer;;;;;;
Ms. Hajra  Klair;Capital University of Science and Technology;Computer Science;Capital;Lecturer;;;;;;
Ms. Zohra  Jabeen;Capital University of Science and Technology;Computer Science;Capital;Lecturer;;;;;;
Ms. Mammona  Qudsia;Capital University of Science and Technology;Computer Science;Capital;Lecturer;MS;FAST– National University of Computer and Emerging Sciences,Lahore;Pakistan;2015;Machine Learning, Artificial Intelligence, Computer Vision, Data Mining, Classification, Image Processing;
Asifullah Khan ;Pakistan Institute of Engineering and Applied Sciences;Computer and Information Sciences;Capital;Head of Department;Post Doc;Gwangju Institute of Science and Technology;South Korea;;Digital Image Processing, Pattern Recognition, Machine Learning, and Evolutionary Algorithms;
Mutawarra Hussain;Pakistan Institute of Engineering and Applied Sciences;Computer and Information Sciences;Capital;Dean;PhD;University of Birmingham;UK;;Medical Image Processing, Pattern Recognition, Natural Language Processing;
Naeem Ahmed;Pakistan Institute of Engineering and Applied Sciences;Computer and Information Sciences;Capital;Head;MSc;Quaid-i-Azam University;Pakistan;;Design and development of PC controlled educational systems, Nuclear Electronics and Instrumentation;
Anila Usman;Pakistan Institute of Engineering and Applied Sciences;Computer and Information Sciences;Capital;Controller of Examinations;PhD;Manchester University;UK;;Numerical Computing, Parallel/Distributed Computing;
Javaid Khurshid;Pakistan Institute of Engineering and Applied Sciences;Computer and Information Sciences;Capital;;PhD;Harbin Institute of Technology;China;;Artificial Intelligence, Mobile Robots, Multi Robot Systems;
Abdul Majid;Pakistan Institute of Engineering and Applied Sciences;Computer and Information Sciences;Capital;;PhD;Ghulam Ishaq Khan Institute of Science and Technology;Pakistan;;Pattern Recognition, Machine learning, Bioinformatics, Combining Classifiers, Applications of Artificial Neural Network and Support Vector Machine in Computational Materials Science, Genetic Algorithm and Genetic Programming;
Muhammad Hanif Durad;Pakistan Institute of Engineering and Applied Sciences;Computer and Information Sciences;Capital;;PhD;Beijing Institute of Technology;China;;Computer Networks and Security, Parallel and Grid Computing, Computer Architecture;
Shahzad Ahmad Qureshi;Pakistan Institute of Engineering and Applied Sciences;Computer and Information Sciences;Capital;;PhD;Pakistan Institute of Engineering and Applied Sciences;Pakistan;;Medical Image Reconstruction, Pattern Recognition, Evolutionary Computation, Digital Subtraction Angiography, Embedded Systems, Computational Metallurgy and Materials Science;
Aneela Zameer Jaafery;Pakistan Institute of Engineering and Applied Sciences;Computer and Information Sciences;Capital;;PhD;University of Paisley;UK;;Modeling and Simulation of Physical Systems, Stochastic Optimization, Evolutionary Computing;
Irfan ul Haq;Pakistan Institute of Engineering and Applied Sciences;Computer and Information Sciences;Capital;;PhD;University of Vienna;Austria;;Cloud Computing, Internet of Things, Information Security, Web Mining, Cognitive Computer Science, Self Organizing Systems;
Tauseef Jamal;Pakistan Institute of Engineering and Applied Sciences;Computer and Information Sciences;Capital;;PhD;Univ of Porto/Univ of Aveiro Portugal/Uni of Minho;Portugal;;Ad-Hoc Networks, Wireless Pervasive Systems, Cooperative Networking, Cooperative Sensing and Inference, Self-organized Networked Systems;
Muhammad Irfan Hameed;Pakistan Institute of Engineering and Applied Sciences;Computer and Information Sciences;Capital;;MS;National University of Sciences and Technology;Pakistan;;Establishment of Software Services Infrastructure, Development of an Integrated Set of Information Systems, Development of Internet and Database Application Software, Distant Electronic Classroom Utilizing Low Bandwidth Internet, Data Warehousing, Information Security Management;
Naeem Akhtar;Pakistan Institute of Engineering and Applied Sciences;Computer and Information Sciences;Capital;;PhD;Vienna University of Technology;Austria;;Pose Tracking, Image Registration and Alignment, Visual Surveillance and Navigation, 3D Reconstruction, Virtual and Augmented Reality;
Ghulam Raza;Pakistan Institute of Engineering and Applied Sciences;Computer and Information Sciences;Capital;;PhD;University of Konstanz;Germany;;Automatic lexical acquisition, Computational grammar development, Theoretical linguistics, Parallel corpora development and statistical machine translation;
Muhammad Abid;Pakistan Institute of Engineering and Applied Sciences;Computer and Information Sciences;Capital;;PhD;Tsinghua University;China;;"High performance computing using GPUs, CMPs; Parallel programming using OpenCL and CUDA; Architectures of GPUs/CMPs";
Hidayatullah Khan;Pakistan Institute of Engineering and Applied Sciences;Computer and Information Sciences;Capital;;MSc;University of Peshawar;Pakistan;;Software Design & Development, Cyber Security, Database Security;
Kamran Safdar;Pakistan Institute of Engineering and Applied Sciences;Computer and Information Sciences;Capital;;PhD;Universität Salzburg;Austria;;"Computational geometry, in particular, straight skeletons and Voronoi diagrams; general-purpose computing on graphics processing units (GPGPU); computer graphics and geometric modeling; algorithms and mathematical proofs; parallel and high-performance computing";
Nauman Shamim;Pakistan Institute of Engineering and Applied Sciences;Computer and Information Sciences;Capital;;MS;National University of Sciences and Technology;Pakistan;;;
Fayyaz-ul-Amir Afsar Minhas;Pakistan Institute of Engineering and Applied Sciences;Computer and Information Sciences;Capital;;PhD;Colorado State University;USA;;Machine Learning (Artificial & Computational Intelligence), Digital Signal Processing, Biomedical signal analysis, Biometrics;
Muhammad Iqbal;Pakistan Institute of Engineering and Applied Sciences;Computer and Information Sciences;Capital;;PhD;;;;Neurodynamics and synchronization of neurons, Stability and control of neural networks, Simulation and modeling, Synchronization algorithms for multi-agent systems, Synchronization of multi-agent systems under information constrains, Modeling, analysis and control of chaotic systems, Consensus control of multi-agent systems;
Muhammad Ishaq Khan;University of Sargodha,Mandi Bahauddin Campus;Computer Science;Punjab;Associate Professor/HoD;;;;;;
Zeeshan Ashraf;University of Sargodha,Mandi Bahauddin Campus;Computer Science;Punjab;Assistant Professor;;;;;;
Ayyaz Yaqoob;University of Sargodha,Mandi Bahauddin Campus;Computer Science;Punjab;Assistant Professor;;;;;;
Muhammad Asad;University of Sargodha,Mandi Bahauddin Campus;Computer Science;Punjab;Lecturer;;;;;;
Qaisar Farooq;University of Sargodha,Mandi Bahauddin Campus;Computer Science;Punjab;Lecturer;;;;;;
M Saleem Butt;University of Sargodha,Mandi Bahauddin Campus;Computer Science;Punjab;Lecturer;;;;;;
Zartasha Gul;University of Sargodha,Mandi Bahauddin Campus;Computer Science;Punjab;Lecturer;;;;;;
Muhammad Faiyaz;University of Sargodha,Mandi Bahauddin Campus;Computer Science;Punjab;Lecturer;;;;;;
Junaid Hassan;University of Sargodha,Mandi Bahauddin Campus;Computer Science;Punjab;Lecturer;BS;University of Engineering and Technology,Taxila;Pakistan;;Web Design and Development,eCommerce Applications Development,Wireless and Mobile Computing,Advanced Heterogeneous Networks;
Hassan Zia;University of Sargodha,Mandi Bahauddin Campus;Computer Science;Punjab;Lecturer;MSc;;;;Web Security,Game Development,Web Design and Development,CMS;
Zohair Ahmed;University of Sargodha,Mandi Bahauddin Campus;Computer Science;Punjab;Lecturer;;;;;;
Aamir Raza;University of Sargodha,Mandi Bahauddin Campus;Computer Science;Punjab;Lecturer;;;;;;
Asma Fardoos;UET-RASUL;Computer Science;Punjab;Lecturer;;;;;;
Sabih Jamal;UET-RASUL;Computer Science;Punjab;Lecturer;;;;;;
Adnan Iqbal;NAML-Mianwali;Computer Science;Punjab;Associate Professor/HoD;PhD;National University of Sciences and Technology;Pakistan;2010;Computer Networking,Cloud Computing;
Ms. Ambreen Hanif;NAML-Mianwali;Computer Science;Punjab;Senior Lecturer;MS;Lahore University of Management Sciences;Pakistan;;;
Mr. Gul Aftab Ahmed;NAML-Mianwali;Computer Science;Punjab;Senior Lecturer;MS;University of Manchester;UK;;;
Junaid Akhtar;NAML-Mianwali;Computer Science;Punjab;Assistant Professor;Post Doc;University of Virginia;USA;2014;Computational Semiotics,Sentiment Analysis,Evolutionary Computation,Charles Sanders Peirce;
Dr.Muhammad Adil Raja;NAML-Mianwali;Computer Science;Punjab;Associate Professor;PhD;University of Limerick;Ireland;2008;Real-time Non-intrusive Quality Estimation of VoIP;
Mr. Muhammad Kamran Nishat;NAML-Mianwali;Computer Science;Punjab;Senior Lecturer;MS;Lahore University of Management Sciences;Pakistan;;;
Mr. Muhammad Sarmad Ali;NAML-Mianwali;Computer Science;Punjab;Senior Lecturer;Post Doc;University of Limerick;Ireland;2010;machine learning approaches for data intensive computing;
Noman Javed;NAML-Mianwali;Computer Science;Punjab;Assistant Professor;PhD;University of Orleans;France;;;
Sheraz Anjum;NAML-Mianwali;Computer Science;Punjab;Senior Lecturer;MS;National University of Sciences and Technology;Pakistan;;;
Dr.Nadeem Ahmad;University of Lahore-PakPattan;Computer Science and IT;Punjab;Head of Department;PhD;Politecnico di Torino;Italy;2014;human machine interfaces;
Dr Tabassum;University of Lahore-PakPattan;Computer Science and IT;Punjab;Associate Professor;;;;;;
Dr. Muhammad Atif;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Dr.Muhammad Adnan Hashmi;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Dr.Ahmad Salman Khan;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Dr.Arshad Ali;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Syed Khurram Shahzad;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Dr. Ibrar Hussain;University of Lahore-PakPattan;Computer Science and IT;Punjab;Associate Professor;PhD;Zhejiang University;China;2014;Human-Computer Interaction, sonification, ubiquitous computing, accessibility, and location-based services;
Naveed Ahmad Khan;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Muhammad Tayyab;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Sobia Bashir;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Sadia Rasheed;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Atif Ikram;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Abdul Wahab;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Muhammad Saeed Akhtar;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Muhammad Waseem Iqbal;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Sikandar Shujah Toor;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Shahid Yousaf;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Yasir Mahmood;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Muhammad Adrees;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Muhammad Aqeel;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Hammad Hassan Qureshi;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Khizar Hayat;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Syed Sarmad Ali;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Abid Bashir;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Shahzad Yousaf;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Zishan Hussain Chohan;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
Waqar Ali;University of Lahore-PakPattan;Computer Science and IT;Punjab;Assistant Professor;;;;;;
