,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
1350,Javed Ahmed Shahani ,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Assistant Professor,PhD,University of Bologna,Italy,,"Semantic Web technologies, Online Social Networks, Privacy and Data Protection, Social Application Development, Multi Agent Systems",
1351,Ahmad Waqas,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Associate Professor,PhD,International Islamic University,Malaysia,," Distributed Systems, Cloud Computing, Network Design, Security and Management, Algorithms and Data Structures and Theoretical computer science.",
1352,M. Ajmal Sawand,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Assistant Professor,PhD,Paris Descartes University,France,,"security and resource management in Wireless Medical Sensor Networks, Wireless Body Area Networks, Wireless Sensor Networks, Virtual Sensor Networks, Mobile Crowd Sensing, Participatory Sensing, Quality of Monitoring for medical and health applications and Quality of Service optimization for audiovisual communications.",
1353,Muhammad Irshad Nazeer,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,"Theoretical Computer Science, Computer Networks, Computational Intelligence and Network Coding",
1354,Sarmad Soomro,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Assistant Professor,MS,Universiti Teknologi PETRONAS,Malaysia,,"Human Computer Interaction, Usability Engineering, Mobile Interaction 
",
1355,Ghulam Murtaza Memon,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Assistant Professor,MS,PAF-Karachi Institute of Economics and Technology,Pakistan,,"Data Mining, Business Intelligence, Big Data Analytics, Digital Image Processing, Digital Watermarking Security, Error Correcting Codes, Spread Spectrum",
1356,Nahdia Majeed,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Assistant Professor,MBA,"Institute of Business Administration,Sukkur",Pakistan,,"Collaborative Software Process (CSP) Measurements , Mapping data from Object Oriented Databases to RDF based Ontology Interests: Object Oriented Programming Object Oriented Analysis & Design Data Structures & Algorithms",
1357,Jawaid Ahmed Siddiqui ,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,"Software Engineering and Project Management, Quality Assurance and Requirement Engineering, Information Systems, Electronic Commerce and Security issues.",
1358,Muhammad Hussain Mughal,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,,"PhD in progress from MAJU,Karachi,Pakistan"
1359,Muhammad Ismail Mangrio,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Assistant Professor,MS,Myongji University,South Korea,,"Object Oriented Programming, Web Engineering, Database concepts and Operating Systems. Cloud Computing, Semantic web.",
1360,Hifazat Ali Shah,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Lecturer,,,,,"Management Information System, e-Business Management, Programming Languages, Information & Communication Technology",
1361,Javed Ali Abbasi,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Lecturer,B.E,,,,,
1362,Riaz Ali Soomro,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Lecturer,B.E,Mehran University of Engineering & Technology,Pakistan,,"Object Oriented Programing, Data Structures and Algorithms, Introduction to Programming, Web Development, Mobile Applications Development and Operating Systems.",
1363,Safdar Ali soomro .,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Lecturer,MSc,,,,,
1364,Miss Paras Qadir,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Lecturer,MSc,Universiti Teknologi PETRONAS,Malaysia,,"Reservoir Engineering, Multiphase Flow, Artificial Intelligence.",
1365,Nisar Ahmed Siddiqui,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Lecturer,,,,,,
1366,Hameedullah Kazi,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Professor,PhD,Asian Institute of Technology,Thailand,,,
1367,Ahmed Waliullah Kazi,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Associate Professor,PhD,State University of New York System,USA,,,
1368,Mutee-u-Rahman,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Assistant Professor,Mphil,,Pakistan,,,
1369,Kamran Khowaja,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Assistant Professor,PhD,University of Malaya,Malaysia,,,
1370,Mohammad Arshad Shaikh,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Assistant Professor,MS,,USA,,,
1371,Amber Baig,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Assistant Professor,MSc,,Pakistan,,,
1372,Sehrish Niaz Abrejo,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Assistant Professor,PhD,ISRA University,Pakistan,,,
1373,Quratul Ain Shah,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Lecturer,BS,ISRA University,Pakistan,,,
1374,Imtiaz Koondhar,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Lecturer,BS,SSindh Agriculture University,Pakistan,,,
1375,Aijaz Chachar,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Lecturer,BS,ISRA University,Pakistan,,,
1376,Muhammad Danish Khan,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Lecturer,BS,,Pakistan,,,
1377,Mohammad Rafique Abro,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Professor,PhD,,UK,,,
1378,Muhammad Ali Nizamani,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Assistant Professor,PhD,,France,,,
1379,Abdul Ghani Rajput,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Assistant Professor,MS,,Netherland,,,
1380,MUMTAZUL IMAM,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Professor,PhD,London University,UK,,,
1381,SHAKIL AHMED,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Associate Professor/Chairman,PhD,Universiti Putra Malaysia Putra,Malaysia,,,
1382,RABIA NOOR ENAM,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Associate Professor,PhD,Sir Syed University of Engineering and Technology,Pakistan,,,
1383,MUHAMMAD TAHIR,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Associate Professor,PhD,University of Rome Tor Vergata,Italy,,,
1384,SYED HASSAN RAZA NAQVI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Associate Professor,PhD,Politecnico di Milano,Italy,,,
1385,REHAN INAM QURESHI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Associate Professor,PhD,University of South Australia,Australia,,,
1386,ROOHI AHMED SIDDIQUI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1387,ZULFIQAR ALI KHAN,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Wayne State University,USA,,,
1388,MAHJABEEN TAHIR,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1389,SYED HARIS MEHBOOB,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1390,SHARIQ-UZ-ZAMAN DURRANI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1391,SAQIB HUSSAIN SIDDIQUI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MBA,Sir Syed University of Engineering and Technology,Pakistan,,,
1392,MOONA KANWAL,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,ME,NED University of Engineering And Technology,Pakistan,,,
1393,SYED RIZWAN-UL-HASAN,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1394,M. MAQSOOD JAN MUHAMMAD,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1395,KASHIF HABIB SHEIKH,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1396,M. IMRAN SALEEM,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1397,NAJMA ISMAT,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1398,UMM-E-LAILA,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1399,MUHAMMAD REHAN RASHEED,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1400,HUMA HASAN RIZVI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,NED University of Engineering And Technology,Pakistan,,,
1401,MASOOD HUSSAIN,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,University of Mississippi ,USA,,,
1402,SABA AHSAN,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Hamdard University,Pakistan,,,
1403,IBRAHIM MUHAMMAD HUSSAIN,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1404,MUHAMMAD KAMRAN KHAN,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1405,M.ZEESHAN AHMED KARIM,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Hamdard University,Pakistan,,,
1406,SHAHEENA NOOR,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,M.E,NED University of Engineering And Technology,Pakistan,,,
1407,M. NAUMAN ALI KHAN- II,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,M.E,NED University of Engineering And Technology,Pakistan,,,
1408,BASHARAH BATOOL,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1409,JAHANGIR AHSAN,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Hamdard University,Pakistan,,,
1410,SYED ZAIN ALI SHAH,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,M.E,Hamdard University,Pakistan,,,
1411,M. NOMAN ALI KHAN,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1412,ALI YOUSUF KHAN,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,M.E,Hamdard University,Pakistan,,,
1413,JAWAID SHABIR,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,M.E,NED University of Engineering And Technology,Pakistan,,,
1414,SARFARAZ ABDUL SATTAR,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Hamdard University,Pakistan,,,
1415,ADNAN ZAHOOR,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,University of Wales,UK,,,
1416,SYED SAOOD ZIA,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,PhD,Hamdard University,Pakistan,,,
1417,SAMIA AIJAZ,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,M.E,Mehran University of Engineering & Technology,Pakistan,,,
1418,HASSAN ZAKI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Hamdard University,Pakistan,,,
1419,KHALIQ AHMED,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,M.E,NED University of Engineering And Technology,Pakistan,,,
1420,MUHAMMAD NASEEM,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1421,TAUSEFF MUBEEN,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1422,M.NAJMUL ISLAM FAROOQUI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1423,MUZAMMIL AHMED KHAN,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1424,MUHAMMAD KHURRAM,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1425,OSAMA AHMED SIDDIQUI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1426,MUHAMMAD KASHIF SHAIKH,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1427,M. ASIM HASAN,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Hamdard University,Pakistan,,,
1428,SADIA IQBAL,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,BE,NED University of Engineering And Technology,Pakistan,,,
1429,M. NAJEEB USMANI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1430,SALMAN MAHMOOD,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MSc,University of Northampton,UK,,,
1431,FARHEEN QAZI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MSc,NED University of Engineering And Technology,Pakistan,,,
1432,SUMREENA BANO,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,M.E,Hamdard University,Pakistan,,,
1433,KHALID MAHBOOB,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,NED University of Engineering And Technology,Pakistan,,,
1434,SYED SAJJAD IMAM ZAIDI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Hamdard University,Pakistan,,,
1435,SARWAT FAWWAD,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Hamdard University,Pakistan,,,
1436,ANEETA ARSHAD,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1437,AISHA AJMAL,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1438,DANISH JAMIL,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MSc,University of Abertay Dundee,UK,,,
1439,JAHANZEB KHAN,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1440,SHOAIB ALAM,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,M.E,Hamdard University,Pakistan,,,
1441,SYED UMAIR NAQVI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,BS,Sir Syed University of Engineering and Technology,Pakistan,,,
1442,QURRAT-UL-AIN NAIYAR,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1443,KIRAN HIDAYAT,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1444,SYED ATIR IFTIKHAR,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1445,MAHWISH IRFAN,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Hamdard University,Pakistan,,,
1446,ABEER JAVED SYED,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Hamdard University,Pakistan,,,
1447,SAFINA SOOMRO,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1448,SYEDA MEHWISH ZEHRA,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1449,SANA ALAM,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,M.E,NED University of Engineering And Technology,Pakistan,,,
1450,RUKAIYA JAVAID,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1451,SHAMA BANO,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1452,ZAINAB ZAKIR,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1453,SANIAH REHAN,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1454,PRIHA BHATTI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
