,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
1000,ImdadUllah Khan,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,The State University of New Jersey,USA,,,
1001,Junaid Haroon Siddiqui,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,The University of Texas at Austin,USA,2012.0,program analysis using static and dynamic techniques in automatic software test generation and parallel and incremental techniques in scaling algorithms for multicore processors and the intersection of these domains,
1002,Mian Muhammad Awais,Lahore University of Management Sciences,Computer Science,Punjab,Professor,PhD,"Imperial College, University of London",UK,,development of on-line models for parametric estimation of solid fuel-fired industrial boilers,
1003,Muhammad Fareed Zaffar,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,,,,,,
1004,Muhammad Hamad Alizai,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,,RWTH Aachen University,Germany,,"Systems and Networks - IoT, CPS, WSN, ICT4D",
1005,Murtaza Taj,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,Queen Mary University of London,UK,2009.0,object detection and tracking using multimodal sensors,
1006,Naveed Arshad,Lahore University of Management Sciences,Computer Science,Punjab,Associate Professor/Chair,PhD,University of Colorado ,USA,,"short, medium and long term forecasting of energy demand, renewable energy generation forecasting for wind and solar resources, demand side management in agricultural, residential and industrial sectors, energy efficiency, and renewable energy integration in existing building stock",
1007,Shafay Shamail,Lahore University of Management Sciences,Computer Science,Punjab,Associate Professor,PhD,University of Bath,UK,,,
1008,Suleman Shahid,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,Tilburg University,Netherland,2011.0,"assistive technologies (mobile apps and VR/AR systems) to enhance the quality of life of persons with disabilities (e.g. autism, dyslexia, visual impairment) and older adults, educational technologies for children (child-computer interaction), and affective computing",
1009,Yasir Mehmood,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,Pompeu Fabra University Barcelona,Spain,2016.0,"social network analysis, mining social influence, machine learning",
1010,Fahad Ahmed Cheema,Lahore University of Management Sciences,Computer Science,Punjab,Teaching Assistant,,,,,,
1011,Maryam Khalid,Lahore University of Management Sciences,Computer Science,Punjab,Teaching Assistant,,,,,,
1012,Muhammad Usman,Lahore University of Management Sciences,Computer Science,Punjab,Teaching Assistant,,,,,,
1013,Usman Zafar,Lahore University of Management Sciences,Computer Science,Punjab,Teaching Assistant,,,,,,
1014,Muhammad Rizwan,Lahore University of Management Sciences,Computer Science,Punjab,Adjunct Faculty,,,,,,
1015,Zaid Saeed Khan,Lahore University of Management Sciences,Computer Science,Punjab,Teaching Fellow,,,,,,
1016,Nasir Naveed ,Virtual University,Computer Science,Punjab,Head of Department,PhD,,,,"Data Science, Big Data Analytics, Data Mining, Machine Learning, Information Retrieval",
1017,Muhammad Jawwad Zaheer ,Virtual University,Computer Science,Punjab,Assistant Professor,MS,University of Management and Technology,Pakistan,,Software Engineering,PhD in progress
1018,Muhammad Salman Bashir ,Virtual University,Computer Science,Punjab,Assistant Professor,MS,University of the Punjab,Pakistan,2004.0,Software Engineering,PhD in progress from UET
1019,Muhammad Anwaar Saeed ,Virtual University,Computer Science,Punjab,Assistant Professor,PhD,National College of Business Administration and Economics,Pakistan,,AI based Encryption Techniques and Quantum Computing,
1020,Hasnain Ahmed ,Virtual University,Computer Science,Punjab,Assistant Professor,MS,"COMSATS Institute of Information Technology,Lahore",Pakistan,2007.0,Computer Networks,
1021,Muhammad Summair Raza ,Virtual University,Computer Science,Punjab,Assistant Professor,MS,,,,Software Engineering,
1022,Sarfraz Ahmad Awan ,Virtual University,Computer Science,Punjab,Assistant Professor,MS,University of Management and Technology,Pakistan,,Software Engineering,
1023,Yasar Mehmood ,Virtual University,Computer Science,Punjab,Assistant Professor,MS,Punjab University College of Information Technology,Pakistan,2004.0,,
1024,Asma Batool ,Virtual University,Computer Science,Punjab,Assistant Professor,MS,Government College University,Pakistan,2010.0,Wireless Computer Networks,
1025,Muhammad Imran ,Virtual University,Computer Science,Punjab,Lecturer,MS,COMSATS Institute of Information Technology,Pakistan,,Wireless Sensor Networks and Web programming,
1026,Syed Shah Muhammad Shah ,Virtual University,Computer Science,Punjab,Lecturer,MS,"University of Agriculture, Faisalabad ",Pakistan,2005.0,Computer Networks,PhD in progress from UET
1027,Abdul Qahhar Mohsin ,Virtual University,Computer Science,Punjab,Lecturer,MS,University of Management and Technology,Pakistan,,Artificial Intelligence,
1028,Asif Hussain ,Virtual University,Computer Science,Punjab,Lecturer,MS,University of Peshawar,Pakistan,2005.0,Databases,
1029,Usman Waheed Bhatti ,Virtual University,Computer Science,Punjab,Lecturer,MS,,,,Software Engineering,
1030,Kanwar Abrar Ahmad ,Virtual University,Computer Science,Punjab,Lecturer,MS,National College of Business Administration and Economics,Pakistan,,"Machine Learning, Data Sciences, Computer Vision & Graphics",
1031,Humaira Naeem ,Virtual University,Computer Science,Punjab,Lecturer,MS,University of Engineering & Technology,Pakistan,2012.0,Web Engineering,
1032,Adnan Asif ,Virtual University,Computer Science,Punjab,Lecturer,MS,"COMSATS Institute of Information Technology,Lahore",Pakistan,,Software Engineering,
1033,Shabib Aftab ,Virtual University,Computer Science,Punjab,Lecturer,MS,"COMSATS Institute of Information Technology,Lahore",Pakistan,,"Software Process Improvement, Databases, Data Warehousing",
1034,Noureen Hameed ,Virtual University,Computer Science,Punjab,Lecturer,MS,"University of Agriculture, Faisalabad",Pakistan,,Databases,
1035,Waqar Ahmad ,Virtual University,Computer Science,Punjab,Lecturer,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,,"Embedded System, Computer Architecture, Logic designing and Robotics.","MS in progress from College of Electrical and Mechanical Engineering – National University of Sciences and Technology, Islamabad"
1036,Amna Bibi ,Virtual University,Computer Science,Punjab,Lecturer,MS,"Fatima Jinnah Women University, Rawalpindi",Pakistan,,"Data Mining, Schema Extraction, Data Integration",
1037,Mehboob Ali ,Virtual University,Computer Science,Punjab,Lecturer,MS,"Kohat University of Science & Technology, Kohat",Pakistan,,Computer Science,
1038,Muhammad Umar Farooq ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,Virtual University of Pakistan,Pakistan,2017.0,Software Engineering,
1039,Shakeel Saeed ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,Punjab University College of Information Technology,Pakistan,,"Software Engineering, Web Development",
1040,Muhammad Zafar Nazir ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,"FAST– National University of Computer and Emerging Sciences,Lahore",Pakistan,,Software Engineering,
1041,Faizan Tahir ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,,,,Software Engineering,
1042,Rehan Ahmed ,Virtual University,Computer Science,Punjab,Tutor/Instructor,M.Phil,,,,Computer Networks,
1043,Nadia Tabassum ,Virtual University,Computer Science,Punjab,Tutor/Instructor,M.Phil,Bahauddin Zakariya University,Pakistan,,Computer Science,
1044,Rizwan Riaz ,Virtual University,Computer Science,Punjab,Tutor/Instructor,M.Phil,,,,Natural Language Processing / Wireless Sensor Networks,
1045,Muhammad Anwar ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,"FAST– National University of Computer and Emerging Sciences,Lahore",Pakistan,,Software Engineering,
1046,Nida Anwar ,Virtual University,Computer Science,Punjab,Tutor/Instructor,M.Phil,,,,Artificial Intelligence.,
1047,Zulfiqar Ali Khan ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,,,,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,
1048,Fahad Naseem ,Virtual University,Computer Science,Punjab,Tutor/Instructor,BS,Virtual University of Pakistan,Pakistan,2007.0,Computer Networks,
1049,Muhammad Qamar Usman ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,"University of Agriculture, Faisalabad ",Pakistan,,Databases,
1050,Haseeb Akmal ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,,,,"Software Engineering, Data Mining, E-Learning",
1051,Muhammad Saqib Javed ,Virtual University,Computer Science,Punjab,Tutor/Instructor,M.Phil,National College of Business Administration and Economics,Pakistan,,Cognitive Protocol Networks,
1052,Khaqan Khawer ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,University of Central Punjab,Pakistan,2008.0,Computer Networks and Web development methodologies.,
1053,Madeeha Rashid ,Virtual University,Computer Science,Punjab,Tutor/Instructor,BS,Punjab University College of Information Technology,Pakistan,,Software Engineering,"MS in progress from Leads University,Lahore"
1054,Muhammad Ahmad Lodhi ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MCS,Virtual University of Pakistan,Pakistan,,Computer Science,
1055,Asim Mehmood ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,,,,,
1056,Abdul Majid Khokhar ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MSc,Punjab University College of Information Technology,Pakistan,,Software Engineering,
1057,Saeed Nasir ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,Virtual University of Pakistan,Pakistan,2015.0,,
1058,Sohail Aamir ,Virtual University,Computer Science,Punjab,Tutor/Instructor,M.Sc,"University of the Punjab,Gujranwala",Pakistan,,Computer networks,
1059,Jibran Khan ,Virtual University,Computer Science,Punjab,Tutor/Instructor,M.Sc,University of Peshawar,Pakistan,,Computer networks,
1060,Fouzia Jumani ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,,
1061,Akmal Khan ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,Virtual University of Pakistan,Pakistan,,Computer networks,
1062,Iftikhar Ali ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,,,,Data mining,
1063,Waqas Ahmad ,Virtual University,Computer Science,Punjab,Tutor/Instructor,BS,Virtual University of Pakistan,Pakistan,2009.0,"Computer Networks, Vehicular Ad-hoc Networks",
1064,Saima Munawar ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,Lahore College for Women University,Pakistan,,"Artificial Intelligence,Software Engineering",PhD in progress from NCBA&E
1065,Muhammad Saeed ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,National College of Business Administration and Economics,Pakistan,,Computer Networks,
1066,Sonia Salman ,Virtual University,Computer Science,Punjab,Tutor/Instructor,BS,Virtual University of Pakistan,Pakistan,2008.0,,MS in progress
1067,Sumbal Javaid ,Virtual University,Computer Science,Punjab,Tutor/Instructor,BS,"Superior University, Lahore",Pakistan,,,
1068,Umra Naeem ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,"Fatima Jinnah Women University, Rawalpindi",Pakistan,,,
1069,Said Nabi,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,"Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Islamabad",Pakistan,,,
1070,Asad Ullah ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MSc,,,,Wireless Sensor Networks,
1071,Muhammad Luqman ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MCS,,,,Routing and Switching,
1072,Qaiser Shabbir ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,,,,Software Engineering,
1073,Imran Akhtar ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MBS,,,,"Networks, IT Telecom, Web development.",
1074,Nabeel Amjad ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,Virtual University of Pakistan,Pakistan,2015.0,Computer Networks,
1075,Shafaq Nisar ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,,,,,MS in progress
1076,Komal Khawer ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MSc,Punjab University College of Information Technology,Pakistan,2008.0,Software Engineering,MS in progress
1077,Muhammad Imran Afzal ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,Punjab University College of Information Technology,Pakistan,2015.0,Software Engineering,
1078,Rizwana Noor ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,,,,,
1079,Taimur Karamat ,Virtual University,Computer Science,Punjab,Tutor/Instructor,M.Phil,,,,Performance Evaluation and Prediction of Wired and Wireless Networks,
