,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
250,Muhammad Yousaf,RIPHAH International,Computing,Capital,Assistant Professor,PhD,,,2013.0,"Computer Engineering, Computer Networks, Network Security, Cyber Security",
251,Rizwan Bin Faiz,RIPHAH International,Computing,Capital,,PhD,Loughborough University,UK,2010.0,"Artificial Intelligence, Model Base Testing",
252,Muhammad Zubair,RIPHAH International,Computing,Capital,,PhD,"International Islamic University,Islamabad",Pakistan,2008.0,"Wireless Networks, Evolutionary Computing, Machine Learning",
253,Muhammad Saud Khan,RIPHAH International,Computing,Capital,Assistant Professor,MS,University of Central Missouri,USA,1997.0,"Software Engineering Practices, Web Development, Software Project Management",PhD in progress 
254,Mr. Musharif Ahmed,RIPHAH International,Computing,Capital,Assistant Professor,MS,Capital University of Science & Technology,Pakistan,2003.0,"Data Science, Machine Learning, Software Engineering,",PhD in progress 
255,Ms. Hajra Murtaza,RIPHAH International,Computing,Capital,Senior Lecturer,MS,,,2016.0,,
256,Ms.Sumera Saleem,RIPHAH International,Computing,Capital,Assistant Professor,MS,,,2016.0,,PhD in progress
257,Mr. Adeel Zafar,RIPHAH International,Computing,Capital,Lecturer,PhD,FAST– National University of Computer and Emerging Sciences,Pakistan,2018.0,,
258,Mr. Syed Sherjeel Ahmad Gilani,RIPHAH International,Computing,Capital,Lecturer,MS,Riphah International University,Pakistan,2011.0,,PhD in progress
259,Ms. Naurin Zamir,RIPHAH International,Computing,Capital,Lecturer,MS,,,2016.0,,
260,Ms.Tazznia Malik,RIPHAH International,Computing,Capital,Lecturer,BS,,,2016.0,,
261,Dr. Azhar Abbas Rizvi,Quaid e Azam University Islamabad,Information Technology,Capital,,,,,,,
262,Ms. Madiha Haider Syed,Quaid e Azam University Islamabad,Information Technology,Capital,,,,,,,
263,Ms. Bushra Almas,Quaid e Azam University Islamabad,Information Technology,Capital,,,,,,,
264,Mr. Abdul Qudus Abbasi,Quaid e Azam University Islamabad,Information Technology,Capital,,,,,,,
265,Ms. Robina Rashid,Quaid e Azam University Islamabad,Information Technology,Capital,,,,,,,
266,Mr. Khurram Gulzar Rana,Quaid e Azam University Islamabad,Information Technology,Capital,,,,,,,
267,Ms. Sidra Batool Kazmi,Quaid e Azam University Islamabad,Information Technology,Capital,,,,,,,
268,Ms. Abida Sadaf,Quaid e Azam University Islamabad,Information Technology,Capital,,,,,,,
269,Mr. M. Munawar Iqbal ,Quaid e Azam University Islamabad,Information Technology,Capital,,,,,,,
270,Waseem Shahzad,FAST-NU(Islamabad),Computer Science,Capital,Professor/HoD,PhD,FAST– National University of Computer and Emerging Sciences,Pakistan,2010.0,"Data Mining, Computational Intelligence, Machine Learning, and Theory of Computation ",
271,Ejaz Ahmed,FAST-NU(Islamabad),Computer Science,Capital,Associate Professor,PhD,University of BedfordShire,UK,2011.0,"Databases, Grid Computing, Cloud Computing, Information Systems and Software Applications Architecture",
272,Hammad Naveed,FAST-NU(Islamabad),Computer Science,Capital,Associate Professor,PhD,University of Illinois,USA,2012.0,"Computational Structural Biology. He is particularly interested in computational identification of novel drug targets, drug repositioning, biophysical modelling of tissues and computational characterization of membrane proteins.",
273,Hasan Mujtaba Kayani,FAST-NU(Islamabad),Computer Science,Capital,Associate Professor,PhD,FAST– National University of Computer and Emerging Sciences,Pakistan,2010.0,"Artificial Intelligence, Computational Intelligence, Machine Learning, Data Mining & Knowledge Discovery, Evolutionary Gaming, Machine Vision & Robotics",
274,Kashif Munir,FAST-NU(Islamabad),Computer Science,Capital,Associate Professor,PhD,University of Innsbruck,Austria,2009.0,"computer networks, high-performance computing and computer communications, performance evaluation (simulation and analytical modeling) of computer and communication systems and mobility management. Currently, he is working on mobility cost analysis in mobile networks.","2 year post doctorate at Telecom Bretagne (Rennes Campus), IRISA, France in 2011/2012"
275,M.Zohaib Zafar Iqbal,FAST-NU(Islamabad),Computer Science,Capital,Associate Professor,PhD,University Of Oslo,Norway,2012.0,"model-driven engineering, software testing, and empirical software engineering",
276,Ehtesham Zahoor,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,Nancy 2 University,France,2011.0,Cloud Computing and Services Composition,
277,Hammad Majeed,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,University of Limerick,Ireland,2007.0,"Artificial Intelligence, Computational Intelligence, Machine Learning, Data Mining & Knowledge Discovery, Evolutionary Gaming, Machine Vision & Robotics.",
278,Irum Inayat,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,University of Malaya,Malaysia,2015.0,"agile software development methods, empirical software engineering, requirements engineering, wearable learning, and merger of artificial intelligence with software engineering",
279,Labiba Fahad,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,MS,Ghulam Ishaq Khan Institute of Science and Technology,Pakistan,2007.0,,
280,Mirza Omer Baig,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,University Of Waterloo,Canada,2013.0,"confluence of Green Computation, Compiler Optimizations, Memory Hierarchy Optimizations, Constraint Programming and Graph Theoretic Algorithms. During the last few years he has worked on several compiler optimization problems targeted towards low-end, power constrained processors. These include formalizing instruction scheduling for clustered architectures, memory hierarchy optimizations and code generation.",
281,Muhammad Adnan Tariq,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,University of Stuttgart,Germany,2013.0,"Internet of Things (IoT), mobile and pervasive computing, geo-distributed fog & cloud computing and Software-defined Networking (SDN) with focus on scalability, quality of service (QoS), fault tolerance and security aspects",
282,Muhammad Asim,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,Liverpool John Moores University,UK,2010.0,,
283,Sibt Ul Hussain,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PostDoc,University Of Caen,France,2013.0," visual recognition (object detection, image classification, face recognition, etc.), machine learning and programming",
284,Usman Farrokh Niaz,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,Paris Tech University of Eurecom,France,2014.0,"Computer Vision, Machine Learning, Pattern Recognition and Image/Video Retrieval.",
285,Uzair Khan,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,"University of Nice, Sophia Antipolis",France,2011.0,"Model Driven Software Engineering, in particular focusing on Model Transformations and Automated Model based Software Testing",
286,Ali Nasir,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,University Of Salford,UK,2009.0,"Management Information Systems & its security, Software Project Management, Human Computer interaction, and Supply Chain Management.",
287,Aneequa Sundus,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,,,,,,
288,Atif Aftab Ahmed Jilani,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,MSc,Mohammad Ali Jinnah University,Pakistan,2008.0,"Model Driven Architecture (MDA), specifically MDA model transformation for generating Unified Modeling Language (UML) artifacts from legacy system design.",
289,Hassan Mustafa,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,MS,Lahore University of Management Sciences,Pakistan,2014.0,"Computer Programming, Software Engineering, and Artificial Intelligence",
290,Jawwad Hassan Nisar,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,2009.0,Computer Communications and Networks.,
291,Mehreen Alam,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,MS,Lahore University of Management Sciences,Pakistan,2006.0,"Traffic Analysis, Performance Evaluation, Theory of Computation and Professional Ethics.",
292,Noor-Ul-Ain,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,2009.0," Image Processing (particularly Medical Image processing), Computer Vision, Machine Learning, and Bio Informatics.",
293,Saba Rasheed Malik,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2009.0,"Data mining, Business Intelligence, and Social Computing.",
294,Shafiq-ur-Rehman,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,MS,"Dresden University Of Technology, Dresden ",Germany,2002.0,"Human Computer Interaction, M-commerce, User Acceptance on IT and Requirement Engineering.",
295,Shizra Sultan,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,2015.0,,
296,Arifa Sarwar,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2012.0,,
297,Zeeshan Waheed,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,"International Islamic University,Islamabad",Pakistan,2011.0,,
298,Abdul Samad,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,"International Islamic University,Islamabad",Pakistan,2013.0,,
299,Ahmad Ali,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2013.0,,
300,Hareem-e-Sahar,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2014.0,,
301,Hassan Raza,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,"COMSATS Institute of Information Technology,Vehari",Pakistan,2016.0,,
302,Muhammad Zubair Farooqi,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,"COMSATS Institute of Information Technology,Wah Cantt",Pakistan,2015.0,"Cognitive Radio Networks,Wireless sensor Networks,Internet of Things


",
303,Sheryar Rashid,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,Ghulam Ishaq Khan Institute of Science and Technology,Pakistan,2012.0,,
304,Atique ur Rehman,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2015.0,,
305,Hina Zafar,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BIT,National University of Sciences and Technology,Pakistan,2011.0,,
306,Ifrah Qaisar,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,National University of Sciences and Technology,Pakistan,2015.0,,
307,Javaria Imtiaz,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,"International Islamic University,Islamabad",Pakistan,2014.0,,
308,Muhammad Nauman,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,COMSATS Institute of Information Technology,Pakistan,2013.0,,
309,Rafia Rahim,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2014.0,,
310,Shahroz Nadeem,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2014.0,,
311,Shoaib Saleem Khatak,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2012.0,,
312,Professor Dr. Muhammad Sher ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Professor,PhD,TU Berlin,Germany,,Next Generation Networks and Security,
313,Dr. Ayyaz Hussain,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Associate Professor/Chairman,PhD,"FAST– National University of Computer and Emerging Sciences,Islamabad",Pakistan,,"Image Processing, Pattern Recognition, Machine Learning and Data Mining, Computational Intelligence Techniques",
314, Dr. Ali Daud ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Associate Professor,PhD,Tsinghua University,China,2010.0,"Text Mining,Information Retrieval, Information Extraction, Social Network Analysis, Machine Learning, Graphical Models, Topic Models",
315,Dr. Husnain Abbas Naqvi ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,PhD,The University of Auckland,New Zealand,,"Professional Software Development and Analysis, Statistical Software Engineering, Stochastic Process, Sensor Networks, Collaborative Communications and Information Security",
316,Dr. Muhammad Adeel,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,PhD,"International Islamic University,Islamabad",Pakistan,,Network Routing Algorithms,
317,Dr. Qaisar Javaid,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor/In Charge,PhD,,,,Computer Networks and Security,
318,Dr. Jamal Abdul Nasir,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,PhD,Lahore University of Management Sciences,Pakistan,,"Natural Language Processing, Text Mining ",
319,Dr. Shehzad Ashraf Chaudhry,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,PhD,,,,"Networks, Communication",
320,Dr. Muhammad Ahsan Qureshi,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,PhD,,,,,
321,Mr. Asim Munir,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,,Digital Image Processing And Computer Vision,PhD in progress
322,Mr. M. Imran Saeed,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,,"Database Designing and Database, Data Mining, Datawarehousing",PhD in progress
323,Mr. Muhammad Nadeem,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,,"Digital Image Processing and Computer Vision, Computer Graphics",PhD in progress
324,Mr. Shahbaz Ahmed Khan Ghayyur,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,,S/W Engineering,PhD in progress
325,Mr. Zulqarnain,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,,,,"Open Source Development, WEB 3.0, ERP",PhD in progress
326,Mr. Usman Nasir ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,,,,,
327,Mr. Imran Khan,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,,,PhD in progress
328,Dr. Qamar Abbas,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,,,,,,
329,Dr. Anwar Ghani,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,PhD,,,,"Networks, Communication",
