,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
700,Ms. Noor ul Ain,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,BSC,"University of Engineering and Technology,Taxila",Pakistan,,,MS in progress from National University of Sciences and Technology
701,Mr. Umar Farooq,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MCS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,,,
702,Hafiz Muhammad Shafiq Gondal,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MSCS,FAST– National University of Computer and Emerging Sciences,Pakistan,,,
703,Mr. Muhammad Ihsan,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MBA,National University of Modern Languages,Pakistan,,,MS in progress from IQRA
704,Mr. Muhammad Nauman Iqbal,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MCS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,,,MS in progress from UAAR
705,Mr. Saeed Iqbal,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,PhD,COMSATS Institute of Information Technology,Pakistan,,,
706,"Mr. Azhar Jamil,",Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,BS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,,,MS in progress from UAAR
707,"Mr. Muhammad Khalid,",Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MA,,,,,
708,"Mr. Muhammad Zeeshan Muzaffar,",Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MS,"International Islamic University,Islamabad",Pakistan,,,PhD in progress from ISRA
709,Mr. Amir Rashid,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MCS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,,,MSCS in progress from UAAR
710,Mr. Adeel Sohail,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MBA,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,,
