,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
460,Humera Aftab Sheikh,Capital University of Science and Technology,Computer Science,Capital,Assistant Professor,Mphil,"National University of Modern Languages,Islamabad",Pakistan,2007.0,,
461,Mr Qamar Mahmood,Capital University of Science and Technology,Computer Science,Capital,Assistant Professor,MSc,"University of Engineering and Technology,Taxila",Pakistan,2006.0,"Semantic Computing, Digital Libraries, Ontology Engineering",
462,Saleem Anwar,Capital University of Science and Technology,Computer Science,Capital,Assistant Professor,,,,,,
463,Salman Ahmed,Capital University of Science and Technology,Computer Science,Capital,Lecturer,MS,Mohammad Ali Jinnah University,Pakistan,2013.0,Mobile Agents; Semantic Web; RDF Graphs,
464,Mr. Qamar  uz Zaman,Capital University of Science and Technology,Computer Science,Capital,Lecturer,MS,Centre for Advanced Studies in Engineering,Pakistan,2013.0,"Requirements Engineering, Formal Methods.",
465,Muhammad Ansar Javed,Capital University of Science and Technology,Computer Science,Capital,Lecturer,MS,National University of Sciences and Technology,Pakistan,2015.0,"Parallel Programming, Big Data, Games Bases Learning.",
466,Bilal Ahmad,Capital University of Science and Technology,Computer Science,Capital,Lecturer,MS,"University of Engineering and Technology,Taxila",Pakistan,2010.0,Wireless sensor networks particularly MAC layer design.,
467,Mr. Ibrar  Arshad,Capital University of Science and Technology,Computer Science,Capital,Lecturer,MS,Blekinge Institute of Technology,Sweden,2012.0,"Software Testing, Software Requirements Engineering, Agile Development, Global Software Engineering, Formal Methods",
468,Mr. Syed Awais Haider,Capital University of Science and Technology,Computer Science,Capital,Lecturer,Mphil,Quaid-i-Azam University,Pakistan,2012.0,,
469,Ms. Asma  Naz,Capital University of Science and Technology,Computer Science,Capital,Lecturer,MS,Quaid-i-Azam University,Pakistan,2013.0,"Corpus linguistics, statistics, and the application of corpus methods in the study of speech and writing, learner language, collocations, phraseology and vocabulary. I am also interested in corpus design and corpus tools development, Experimental Phonetics and Phonology, Forensic Phonetics, Psycholinguistics, Second Language Acquisition, Implicit and Explicit L2 Knowledge, Prosody, Tone.",
470,Mr. Muhammad Shaheryar,Capital University of Science and Technology,Computer Science,Capital,Lecturer,MS,National University of Sciences and Technology,Pakistan,2013.0,"Machine Learning, Artificial Intelligence, Data Mining, Classification, Image Processing, Automata",
471,Mr. Usman  Rafiq,Capital University of Science and Technology,Computer Science,Capital,Lecturer,,,,,,
472,Ms. Hajra  Klair,Capital University of Science and Technology,Computer Science,Capital,Lecturer,,,,,,
473,Ms. Zohra  Jabeen,Capital University of Science and Technology,Computer Science,Capital,Lecturer,,,,,,
474,Ms. Mammona  Qudsia,Capital University of Science and Technology,Computer Science,Capital,Lecturer,MS,"FAST– National University of Computer and Emerging Sciences,Lahore",Pakistan,2015.0,"Machine Learning, Artificial Intelligence, Computer Vision, Data Mining, Classification, Image Processing",
475,Asifullah Khan ,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,Head of Department,Post Doc,Gwangju Institute of Science and Technology,South Korea,,"Digital Image Processing, Pattern Recognition, Machine Learning, and Evolutionary Algorithms",
476,Mutawarra Hussain,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,Dean,PhD,University of Birmingham,UK,,"Medical Image Processing, Pattern Recognition, Natural Language Processing",
477,Naeem Ahmed,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,Head,MSc,Quaid-i-Azam University,Pakistan,,"Design and development of PC controlled educational systems, Nuclear Electronics and Instrumentation",
478,Anila Usman,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,Controller of Examinations,PhD,Manchester University,UK,,"Numerical Computing, Parallel/Distributed Computing",
479,Javaid Khurshid,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Harbin Institute of Technology,China,,"Artificial Intelligence, Mobile Robots, Multi Robot Systems",
480,Abdul Majid,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Ghulam Ishaq Khan Institute of Science and Technology,Pakistan,,"Pattern Recognition, Machine learning, Bioinformatics, Combining Classifiers, Applications of Artificial Neural Network and Support Vector Machine in Computational Materials Science, Genetic Algorithm and Genetic Programming",
481,Muhammad Hanif Durad,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Beijing Institute of Technology,China,,"Computer Networks and Security, Parallel and Grid Computing, Computer Architecture",
482,Shahzad Ahmad Qureshi,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Pakistan Institute of Engineering and Applied Sciences,Pakistan,,"Medical Image Reconstruction, Pattern Recognition, Evolutionary Computation, Digital Subtraction Angiography, Embedded Systems, Computational Metallurgy and Materials Science",
483,Aneela Zameer Jaafery,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,University of Paisley,UK,,"Modeling and Simulation of Physical Systems, Stochastic Optimization, Evolutionary Computing",
484,Irfan ul Haq,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,University of Vienna,Austria,,"Cloud Computing, Internet of Things, Information Security, Web Mining, Cognitive Computer Science, Self Organizing Systems",
485,Tauseef Jamal,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Univ of Porto/Univ of Aveiro Portugal/Uni of Minho,Portugal,,"Ad-Hoc Networks, Wireless Pervasive Systems, Cooperative Networking, Cooperative Sensing and Inference, Self-organized Networked Systems",
486,Muhammad Irfan Hameed,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,MS,National University of Sciences and Technology,Pakistan,,"Establishment of Software Services Infrastructure, Development of an Integrated Set of Information Systems, Development of Internet and Database Application Software, Distant Electronic Classroom Utilizing Low Bandwidth Internet, Data Warehousing, Information Security Management",
487,Naeem Akhtar,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Vienna University of Technology,Austria,,"Pose Tracking, Image Registration and Alignment, Visual Surveillance and Navigation, 3D Reconstruction, Virtual and Augmented Reality",
488,Ghulam Raza,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,University of Konstanz,Germany,,"Automatic lexical acquisition, Computational grammar development, Theoretical linguistics, Parallel corpora development and statistical machine translation",
489,Muhammad Abid,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Tsinghua University,China,,"High performance computing using GPUs, CMPs; Parallel programming using OpenCL and CUDA; Architectures of GPUs/CMPs",
490,Hidayatullah Khan,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,MSc,University of Peshawar,Pakistan,,"Software Design & Development, Cyber Security, Database Security",
491,Kamran Safdar,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Universität Salzburg,Austria,,"Computational geometry, in particular, straight skeletons and Voronoi diagrams; general-purpose computing on graphics processing units (GPGPU); computer graphics and geometric modeling; algorithms and mathematical proofs; parallel and high-performance computing",
492,Nauman Shamim,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,MS,National University of Sciences and Technology,Pakistan,,,
493,Fayyaz-ul-Amir Afsar Minhas,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Colorado State University,USA,,"Machine Learning (Artificial & Computational Intelligence), Digital Signal Processing, Biomedical signal analysis, Biometrics",
494,Muhammad Iqbal,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,,,,"Neurodynamics and synchronization of neurons, Stability and control of neural networks, Simulation and modeling, Synchronization algorithms for multi-agent systems, Synchronization of multi-agent systems under information constrains, Modeling, analysis and control of chaotic systems, Consensus control of multi-agent systems",
495,Muhammad Ishaq Khan,"University of Sargodha,Mandi Bahauddin Campus",Computer Science,Punjab,Associate Professor/HoD,,,,,,
496,Zeeshan Ashraf,"University of Sargodha,Mandi Bahauddin Campus",Computer Science,Punjab,Assistant Professor,,,,,,
497,Ayyaz Yaqoob,"University of Sargodha,Mandi Bahauddin Campus",Computer Science,Punjab,Assistant Professor,,,,,,
498,Muhammad Asad,"University of Sargodha,Mandi Bahauddin Campus",Computer Science,Punjab,Lecturer,,,,,,
499,Qaisar Farooq,"University of Sargodha,Mandi Bahauddin Campus",Computer Science,Punjab,Lecturer,,,,,,
500,M Saleem Butt,"University of Sargodha,Mandi Bahauddin Campus",Computer Science,Punjab,Lecturer,,,,,,
501,Zartasha Gul,"University of Sargodha,Mandi Bahauddin Campus",Computer Science,Punjab,Lecturer,,,,,,
502,Muhammad Faiyaz,"University of Sargodha,Mandi Bahauddin Campus",Computer Science,Punjab,Lecturer,,,,,,
503,Junaid Hassan,"University of Sargodha,Mandi Bahauddin Campus",Computer Science,Punjab,Lecturer,BS,"University of Engineering and Technology,Taxila",Pakistan,,"Web Design and Development,eCommerce Applications Development,Wireless and Mobile Computing,Advanced Heterogeneous Networks",
504,Hassan Zia,"University of Sargodha,Mandi Bahauddin Campus",Computer Science,Punjab,Lecturer,MSc,,,,"Web Security,Game Development,Web Design and Development,CMS",
505,Zohair Ahmed,"University of Sargodha,Mandi Bahauddin Campus",Computer Science,Punjab,Lecturer,,,,,,
506,Aamir Raza,"University of Sargodha,Mandi Bahauddin Campus",Computer Science,Punjab,Lecturer,,,,,,
507,Asma Fardoos,UET-RASUL,Computer Science,Punjab,Lecturer,,,,,,
508,Sabih Jamal,UET-RASUL,Computer Science,Punjab,Lecturer,,,,,,
509,Adnan Iqbal,NAML-Mianwali,Computer Science,Punjab,Associate Professor/HoD,PhD,National University of Sciences and Technology,Pakistan,2010.0,"Computer Networking,Cloud Computing",
510,Ms. Ambreen Hanif,NAML-Mianwali,Computer Science,Punjab,Senior Lecturer,MS,Lahore University of Management Sciences,Pakistan,,,
511,Mr. Gul Aftab Ahmed,NAML-Mianwali,Computer Science,Punjab,Senior Lecturer,MS,University of Manchester,UK,,,
512,Junaid Akhtar,NAML-Mianwali,Computer Science,Punjab,Assistant Professor,Post Doc,University of Virginia,USA,2014.0,"Computational Semiotics,Sentiment Analysis,Evolutionary Computation,Charles Sanders Peirce",
513,Dr.Muhammad Adil Raja,NAML-Mianwali,Computer Science,Punjab,Associate Professor,PhD,University of Limerick,Ireland,2008.0,Real-time Non-intrusive Quality Estimation of VoIP,
514,Mr. Muhammad Kamran Nishat,NAML-Mianwali,Computer Science,Punjab,Senior Lecturer,MS,Lahore University of Management Sciences,Pakistan,,,
515,Mr. Muhammad Sarmad Ali,NAML-Mianwali,Computer Science,Punjab,Senior Lecturer,Post Doc,University of Limerick,Ireland,2010.0,machine learning approaches for data intensive computing,
516,Noman Javed,NAML-Mianwali,Computer Science,Punjab,Assistant Professor,PhD,University of Orleans,France,,,
517,Sheraz Anjum,NAML-Mianwali,Computer Science,Punjab,Senior Lecturer,MS,National University of Sciences and Technology,Pakistan,,,
518,Dr.Nadeem Ahmad,University of Lahore-PakPattan,Computer Science and IT,Punjab,Head of Department,PhD,Politecnico di Torino,Italy,2014.0,human machine interfaces,
519,Dr Tabassum,University of Lahore-PakPattan,Computer Science and IT,Punjab,Associate Professor,,,,,,
520,Dr. Muhammad Atif,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
521,Dr.Muhammad Adnan Hashmi,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
522,Dr.Ahmad Salman Khan,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
523,Dr.Arshad Ali,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
524,Syed Khurram Shahzad,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
525,Dr. Ibrar Hussain,University of Lahore-PakPattan,Computer Science and IT,Punjab,Associate Professor,PhD,Zhejiang University,China,2014.0,"Human-Computer Interaction, sonification, ubiquitous computing, accessibility, and location-based services",
526,Naveed Ahmad Khan,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
527,Muhammad Tayyab,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
528,Sobia Bashir,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
529,Sadia Rasheed,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
530,Atif Ikram,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
531,Abdul Wahab,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
532,Muhammad Saeed Akhtar,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
533,Muhammad Waseem Iqbal,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
534,Sikandar Shujah Toor,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
535,Shahid Yousaf,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
536,Yasir Mahmood,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
537,Muhammad Adrees,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
538,Muhammad Aqeel,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
539,Hammad Hassan Qureshi,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
540,Khizar Hayat,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
541,Syed Sarmad Ali,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
542,Abid Bashir,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
543,Shahzad Yousaf,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
544,Zishan Hussain Chohan,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
545,Waqar Ali,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
546,Muhammad Nadeem Ashraf,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
547,M Khurram Zahur Bajwa,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
548,Junaid Aziz,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
549,Muhammad Nouman Zafar,University of Lahore-PakPattan,Computer Science and IT,Punjab,Jr.Lecturer,MS,National University of Sciences and Technology,Pakistan,,Big data and IoT,
550,Syed Zishan Ali,University of Lahore-PakPattan,Computer Science and IT,Punjab,Jr.Lecturer,MS,COMSATS Institute of Information Technology,Pakistan,,Data mining and Big Data Analytics,
551,Muhammad Irfan saqi,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
552,Muhammad Ijaz Nazir Mehrr,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
553,Waqar Ahmad Khan,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
554,Sadia Kanwal,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
555,Nadia Mushtaq,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
556,Imran Hashim,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
557,Beenish Abid,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
558,Usman Javed,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
559,Wajeeha Farooqui,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
560,Muhammad Nadeem Akhter,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
561,Nadeem Tariq,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
562,Khawaja Ali Qadeer,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
563,Shehla Saeed,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
564,Syed Saqib Raza,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
565,Iqra Mahmood,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
566,Ghulam Farooque,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
567,Naila Summar Naz,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
568,Suhail Aziz Zaidi,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
569,Umbreen Fatima,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
570,Mr. Muhammad Asad Ullah ,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
571,Samiullah,University of Lahore-PakPattan,Computer Science and IT,Punjab,Jr.Lecturer,,,,,,
572,Zikria Mushtaq,University of Lahore-PakPattan,Computer Science and IT,Punjab,Jr.Lecturer,,,,,,
573,Kinza Sardar,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
574,Ibtisam Asif,University of Lahore-PakPattan,Computer Science and IT,Punjab,Jr.Lecturer,,,,,,
575,Sajid Ullah Khan,University of Lahore-PakPattan,Computer Science and IT,Punjab,Assistant Professor,,,,,,
576,david.samuel@cs.uol.edu.pk,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
577,Hadia,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
578,Farah Khan,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
579,Saher Ashraf,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
580,Syeda Natasha Mehwish Shahid,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
581,Rabbiya Iftikhar,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
582,Syeda Synnia Tanveer,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
583,Ahtasham Gul,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
584,Kashif Rizwan,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
585,Nosheen Qamar,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
586,Irtiza Hassan,University of Lahore-PakPattan,Computer Science and IT,Punjab,Jr.Lecturer,,,,,,
587,Ali Anwar,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
588,Affifa,University of Lahore-PakPattan,Computer Science and IT,Punjab,Lecturer,,,,,,
589,                Dr. Irshad Khokhar                               ,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
590,                Dr. Suleman Aziz Lodhi,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
591,                Dr. Faisal Qadeer,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
592,                Dr. Alia Ahmed,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
593,                Dr. Ghulam Abid,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
594,                Dr. Matti Ullah Butt,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
595,                Mr. Aamir Iftikhar,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
596,                Mr. N.A Jaffery,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
597,                Mr. Jameel Murtaza,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
598,                Mr. Altaf ur Rehman,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
599,                Mr. Sikandar Aziz,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
600,                Ms. Iram Saba,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
601,                Ms. Rakhshanda Atwar,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
602,                Dr. Muhammad Kalim,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
603,                Mr. A.H Toor,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
604,                Ms. Mehreen Ashraf,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
605,                Dr. Q. Rind,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
606,                Mr. Athar Ikram,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
607,                Ms. Humaira Taj,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
608,                Ms. Saima Hassan,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
609,                Dr. Javaid Nayyer,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
610,                Dr. Muhammad Saleem,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
611,                Dr. F.D. Zaman,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
612,                Dr. A. K. Raja,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
613,              	Mr. Razi Ahmad  ,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
614,                Mr. Shams ur Rehman,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
615,                Mr. Wasim Ahmed Khan,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
616,                Ms. Umber Zaki,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
617,                Dr. Adnan Khan,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
618,                Mr. Yousaf Saeed,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
619,               Dr. Sagheer Abbas,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
620,             Ms. Leena Rehman,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
621,                Mr. Zahid Hasan,National College of Business Administration & Economics,Computer Science,Punjab,,,,,,,
622,Shafiq Hussain,University of Sahiwal,Computer Science,Punjab,HEC Approved PhD Supervisor,PhD,University of Sunderland,UK,,,
623,Dr. Muhammad Rafiq Mufti,COMSATS-Vehari,Computer Science,Punjab,Assistant Professor/HoD ,,,,,,
624,Dr. Muhammad Imran Qureshi,COMSATS-Vehari,Computer Science,Punjab,Assistant Professor,,,,,,
625,Dr. Muhammad Ishaq,COMSATS-Vehari,Computer Science,Punjab,Assistant Professor,,,,,,
626,Dr. Aqeel-ur-Rehman,COMSATS-Vehari,Computer Science,Punjab,Assistant Professor,,,,,,
627,Dr. Malik Muhammad Ali Shahid,COMSATS-Vehari,Computer Science,Punjab,Assistant Professor,,,,,,
628,Muhammad Rehan Ashraf,COMSATS-Vehari,Computer Science,Punjab,Assistant Professor,,,,,,
629,Dr. Muhammad Zahid Abbas,COMSATS-Vehari,Computer Science,Punjab,Assistant Professor,,,,,,
630,Laiq Akhtar,COMSATS-Vehari,Computer Science,Punjab,Assistant Professor,,,,,,
631,Ahmad Saeed Khattak,COMSATS-Vehari,Computer Science,Punjab,Assistant Professor,,,,,,
632,Tahir Rasheed,COMSATS-Vehari,Computer Science,Punjab,Assistant Professor,,,,,,
633,Dr Hafiz M. Asim Zafar,COMSATS-Vehari,Computer Science,Punjab,Assistant Professor,,,,,,
634,Farman Ullah,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
635,Adil Sarwar,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
636,Junaid Iqbal Baig,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
637,Ammar Yasir,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
638,Munawar Hussain,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
639,Yasir Munir,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
640,Muhammad Zaheer Akhtar,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
641,Uzair Ishtiaq,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
642,Rashid Jahangir,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
643,Nasrullah Yousuf,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
644,Riffat,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
645,Muhammad Afzal,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
646,Abdul Manan Dogar,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
647,Komal Hasan,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
648,Ghazala Ashraf,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
649,Muhammad Fuzail,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
650,Sana Maqbool,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
651,Muhammad Amjad,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
652,M Mohsin Malik,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
653,Syda Fatima,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
